City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,South Milwaukee,US,42.9106,-87.8606,68.41,64,75,10.36,broken clouds
279,Narok,KE,-1.0783,35.8601,54.97,97,100,2.98,overcast clouds
280,Bhawana,PK,31.5692,72.649,87.57,36,0,6.71,clear sky
281,Port Hardy,CA,50.6996,-127.4199,57.38,62,40,17.27,scattered clouds
282,Kavieng,PG,-2.5744,150.7967,83.88,68,100,4.5,overcast clouds
283,Marsaxlokk,MT,35.8419,14.5431,68.61,88,20,13.8,light rain
284,Bethel,US,41.3712,-73.414,67.05,91,75,0.0,broken clouds
285,Itanhandu,BR,-22.2958,-44.9347,55.33,86,4,0.96,clear sky
286,Haimen,CN,23.1935,116.6142,84.09,80,100,9.57,overcast clouds
287,Dhidhdhoo,MV,6.8833,73.1,80.56,81,100,12.73,overcast clouds
288,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,14.97,scattered clouds
289,Reconquista,AR,-29.15,-59.65,60.42,97,99,4.38,overcast clouds
290,Barmer,IN,25.75,71.3833,77.05,88,23,18.05,few clouds
291,Klaksvik,FO,62.2266,-6.589,47.32,75,5,26.31,clear sky
292,Lata,PT,40.1629,-8.3327,57.85,78,0,1.16,clear sky
293,Yantal,RU,56.8471,105.2542,52.36,35,52,5.73,broken clouds
294,Shimoda,JP,34.6667,138.95,75.56,51,50,1.77,scattered clouds
295,Muros,ES,42.7762,-9.0603,62.17,79,0,4.41,clear sky
296,Porbandar,IN,21.6422,69.6093,82.09,74,100,18.3,overcast clouds
297,Port Elizabeth,ZA,-33.918,25.5701,57.49,77,0,6.91,clear sky
298,Chimbote,PE,-9.0853,-78.5783,62.96,89,9,9.19,clear sky
299,Westport,US,41.1415,-73.3579,69.13,92,75,6.91,broken clouds
300,Caernarfon,GB,53.1413,-4.2702,50.61,72,96,8.01,overcast clouds
301,Sistranda,NO,63.7256,8.834,42.76,90,100,22.46,overcast clouds
302,Tautira,PF,-17.7333,-149.15,80.02,69,70,12.19,broken clouds
303,Kamenka,RU,51.3223,42.7678,48.54,92,35,4.9,scattered clouds
304,Christchurch,NZ,-43.5333,172.6333,61.41,64,81,2.3,broken clouds
305,Arlit,NE,18.7369,7.3853,91.62,10,11,7.0,few clouds
306,Keffi,NG,8.8486,7.8736,76.05,75,5,3.06,clear sky
307,Kensington,AU,-33.9167,151.2167,62.13,56,20,18.41,few clouds
308,Desaguadero,PE,-16.5656,-69.0417,42.89,50,0,2.08,clear sky
309,Honningsvag,NO,70.9821,25.9704,44.35,87,75,13.8,broken clouds
310,Casma,CL,-41.0082,-73.1244,38.8,92,75,1.23,broken clouds
311,Basoko,CD,1.2391,23.616,68.85,96,100,0.78,overcast clouds
312,Paamiut,GL,61.994,-49.6678,34.16,91,100,22.1,overcast clouds
313,Kaitangata,NZ,-46.2817,169.8464,51.58,67,100,2.55,overcast clouds
314,Chapais,CA,49.7834,-74.8492,60.58,68,6,9.33,clear sky
315,Bundaberg,AU,-24.85,152.35,75.22,58,75,1.99,broken clouds
316,Roald,NO,62.5833,6.1333,46.9,93,100,10.36,light rain
317,Tondano,ID,1.3038,124.9112,75.29,85,100,0.4,overcast clouds
318,Brive-La-Gaillarde,FR,45.25,1.5,51.28,65,2,3.71,clear sky
319,Bow Island,CA,49.8668,-111.3684,68.29,24,88,5.75,overcast clouds
320,Lowestoft,GB,52.4752,1.7516,48.45,87,100,12.28,overcast clouds
321,Uvat,RU,59.1433,68.8953,56.19,84,6,5.41,clear sky
322,Maiduguri,NG,11.8464,13.1603,84.54,9,0,4.5,clear sky
323,Visnes,NO,59.3556,5.2242,46.45,81,20,27.63,few clouds
324,Luderitz,NA,-26.6481,15.1594,53.89,86,0,8.37,clear sky
325,Morros,BR,-9.4467,-46.3003,72.82,52,1,4.14,clear sky
326,Daru,PG,-9.0763,143.2092,81.88,67,97,9.44,overcast clouds
327,Contai,IN,21.7786,87.7536,89.53,61,95,5.99,overcast clouds
328,Cabo San Lucas,MX,22.8909,-109.9124,93.51,22,0,11.5,clear sky
329,Lagos,NG,6.5833,3.75,76.5,91,100,2.17,overcast clouds
330,Oregon City,US,45.3573,-122.6068,59.63,87,99,11.01,overcast clouds
331,Natal,BR,-5.795,-35.2094,75.85,94,0,6.91,clear sky
332,Smoky Lake,CA,54.1169,-112.4686,68.16,32,23,8.05,few clouds
333,Villa De Reyes,MX,21.8,-100.9333,73.58,31,4,19.1,clear sky
334,Lorengau,PG,-2.0226,147.2712,84.72,63,88,3.62,overcast clouds
335,Nemuro,JP,43.3236,145.575,45.25,94,100,23.35,overcast clouds
336,Hovd,MN,48.0056,91.6419,64.58,35,13,1.57,few clouds
337,Babushkin,RU,51.7122,105.8647,44.56,56,20,13.71,few clouds
338,Yenagoa,NG,4.9247,6.2642,74.41,93,51,3.29,broken clouds
339,Batagay,RU,67.6333,134.6333,56.89,36,7,4.7,clear sky
340,Sisimiut,GL,66.9395,-53.6735,35.46,73,6,12.12,clear sky
341,Maniitsoq,GL,65.4167,-52.9,33.01,85,9,12.5,clear sky
342,Florence,IT,43.7667,11.25,69.48,79,0,10.0,clear sky
343,Lagoa,PT,39.05,-27.9833,58.21,62,5,18.84,clear sky
344,Champerico,GT,14.3,-91.9167,84.74,77,100,8.63,overcast clouds
345,Patitirion,GR,39.15,23.8667,71.38,83,100,2.62,overcast clouds
346,Saint-Augustin,CA,51.226,-58.6502,40.86,95,100,24.81,overcast clouds
347,Port Lincoln,AU,-34.7333,135.8667,60.06,63,15,19.46,few clouds
348,Ganzhou,CN,28.8184,115.4327,76.53,91,100,7.34,overcast clouds
